posId,storeId,clientCode,userName,password,referenceStoreInPos,posAPIType,category,storeRosterCode,companyId,integrationProviderId,scheduleCheckerLatestPosTime,scheduleCheckerEarliestReportTime,createdOn,UpdatedOn
1,32,449,Fionaa,0310feea,49000000002,1,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
2,18,1615,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
3,33,1608,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
4,26,1619,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
5,32562,NULL,,,NULL,2,NULL,NULL,NULL,7,00:00:00,NULL,"2019-11-14 04:54:26","2020-11-27 05:22:54"
10,46,DONC,NULL,NULL,NULL,2,NULL,NULL,14,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
14,57,1612,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
15,58,1616,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
16,59,1613,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
17,61,1611,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
18,63,1618,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
19,55,1614,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
20,56,1609,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
21,60,1610,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
22,62,1617,NULL,NULL,NULL,2,NULL,NULL,5,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
23,20,302,,,NULL,2,NULL,NULL,15,4,00:00:00,05:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:15"
25,66,115,,,NULL,2,NULL,NULL,15,4,00:00:00,05:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:15"
26,52,112,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
28,44,"Ascot Vale",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
29,36,"Fitzroy Nth",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
30,45,"Port Melbourne",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
31,40,410218,API,Grey1234,2,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
32,88,058,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
33,84,047,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
34,73,080,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
41,54,NULL,62131,gs50jxZbestK9jeVFZjzhqp4dRY5tRqs,964,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
45,97,410218,API,Grey1234,3,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
46,10001,"CASTLE HILL JB HOME",NULL,NULL,NULL,2,NULL,53,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
79,115,410218,API,Grey1234,4,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
80,10002,"CASTLE TOWERS",NULL,NULL,NULL,2,NULL,192,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
81,10005,"FOREST HILL",NULL,NULL,NULL,2,NULL,147,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
82,10008,"WESTFIELD PARRAMATTA",NULL,NULL,NULL,2,NULL,84,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
84,112,410218,API,Grey1234,81,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
86,10009,"ROUSE HILL",NULL,NULL,NULL,2,NULL,79,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
119,180,"Warringah Mall",,,2099,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
122,183,BONDI,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
128,10007,KNOX,NULL,NULL,NULL,2,NULL,8,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
145,10006,HORNSBY,NULL,NULL,NULL,2,NULL,43,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
158,142,Doncaster,,,3032,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
160,10003,CHADSTONE,NULL,NULL,NULL,2,NULL,21,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
165,78,"Fountain Gate",,,3033,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
166,10010,"THE GLEN",NULL,NULL,NULL,2,NULL,174,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
167,10004,"CHIRNSIDE JB HOME",NULL,NULL,NULL,2,NULL,167,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
206,118,410218,API,Grey1234,6,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
212,10014,301,NULL,NULL,NULL,2,"OS,TE,PC,SU,FN,SE",NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
213,10013,253,NULL,NULL,NULL,2,"OS,TE,PC,SU,FN,SE",NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
214,10012,308,NULL,NULL,NULL,2,"OS,TE,PC,SU,FN,SE",NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
215,10011,360,NULL,NULL,NULL,2,"OS,TE,PC,SU,FN,SE",NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
217,190010,360,NULL,NULL,NULL,2,OS,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
218,190012,360,NULL,NULL,NULL,2,TE,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
219,190013,360,NULL,NULL,NULL,2,FN,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
220,190014,360,NULL,NULL,NULL,2,SU,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
221,190015,360,NULL,NULL,NULL,2,SE,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
222,190016,360,NULL,NULL,NULL,2,PC,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
223,190022,308,NULL,NULL,NULL,2,OS,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
224,190023,308,NULL,NULL,NULL,2,TE,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
225,190024,308,NULL,NULL,NULL,2,FN,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
226,190025,308,NULL,NULL,NULL,2,SU,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
227,190026,308,NULL,NULL,NULL,2,SE,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
228,190027,308,NULL,NULL,NULL,2,PC,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
229,190033,301,NULL,NULL,NULL,2,OS,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
